,Text,Annotation,Show
38,Okay  uh  well  if you threw the ring from up here,neutral,That 70s Show
39,- It's Paul's turn to take her.- Like I said  he broke his ankle.,neutral,That 70s Show
40,My needs have risen to near..,neutral,That 70s Show
41,But you just remember:,neutral,That 70s Show
42,And you smell nice.,neutral,That 70s Show
43,"Why not call it ""femail""?",neutral,That 70s Show
44,So what were you saying  dear?,neutral,That 70s Show
45,We could have a change-of-life baby!,neutral,That 70s Show
46,my family bought one of your Christmas tree ornaments...,neutral,That 70s Show
47,No. Your leg is touching mine.,neutral,That 70s Show
48,I know it's difficult to hear with your head up your ass.,neutral,That 70s Show
49,for my meaty hero of a husband.,neutral,That 70s Show
50,I finally got Brooke to trust me,neutral,That 70s Show
51,What?,neutral,That 70s Show
52,I don't like bowling  man.,neutral,That 70s Show
53,No  don't call the cops.,neutral,That 70s Show
54,By the way  Mom and Dad are going to the Playboy Club...,neutral,That 70s Show
55,and that you're in the country to be,neutral,That 70s Show
56,Uh-oh  time to switch.,neutral,That 70s Show
57,Okay  Fez  since you're helping me with set dressing,neutral,That 70s Show
58,We need to sit downand figure this out.,neutral,That 70s Show
59,"Cheat-ed. ""Hurt-ed.""""Lie-duh.""",neutral,That 70s Show
60,because  boy  Midge  you can reallymelt a super pot of cheese  but  um-,neutral,That 70s Show
61,Donna  man  I feel like I wanna kiss you.,neutral,That 70s Show
62,I don't... I don'twant to play anymore.,neutral,That 70s Show
63,Oh! They alwayswant to talk about it.,neutral,That 70s Show
64,Actually  I'm cool.,neutral,That 70s Show
65,Red  don't get upset so early.,neutral,That 70s Show
66,Me? At the adults' table?,neutral,That 70s Show
67,Yeah  Fez  it's a real roller coaster  ain't it?,neutral,That 70s Show
68,All right.,neutral,That 70s Show
69,It's none of your business bell-bottom.,neutral,That 70s Show
70,- Oh  yes  Fez!- I think I might have tricked you.,neutral,That 70s Show
71,It pays my footnot going in your ass.,neutral,That 70s Show
72,Hyde  you're no help.,neutral,That 70s Show
73,in needlepoint.,neutral,That 70s Show
74,Oh,neutral,That 70s Show
75,What was that?,neutral,That 70s Show
76,Well there you have it Eric,neutral,That 70s Show
77,You know what  I'll drive you.We'll both go to California.,neutral,That 70s Show
78,But I won't get one  so I might as welljust ask for a raincoat.,neutral,That 70s Show
79,Turns out I was mistaken.,neutral,That 70s Show
80,- He's dead!- Kelso!,neutral,That 70s Show
81,He read my dirty girl book?,neutral,That 70s Show
82,Wuss.,neutral,That 70s Show
83,I'm gonna go next door,neutral,That 70s Show
84,We are not Mom and Dad.,neutral,That 70s Show
85,So  um  how are you?,neutral,That 70s Show
86,That's true  man.,neutral,That 70s Show
87,What beans?,neutral,That 70s Show
88,That's important.,neutral,That 70s Show
89,It was like eating gold.,neutral,That 70s Show
90,Yes  I have a coupleof questions.,neutral,That 70s Show
91,Uh-huh. Let's see the hair.,neutral,That 70s Show
92,Man  poor kelso's van.,neutral,That 70s Show
93,So  here.,neutral,That 70s Show
94,Donna  man...,neutral,That 70s Show
95,Will you cut it out!,neutral,That 70s Show
96,If it makes you feel anybetter  he's gonna be sorry.,neutral,That 70s Show
97,Tom Jones is stuck in asnowstorm. He's not coming.,neutral,That 70s Show
98,Cable guy left? He forgot to hook upthe basement.,neutral,That 70s Show
99,Whoa  whoa  whoa. So you covered thefreezer handle and the TV knob in superglue?,neutral,That 70s Show
100,And?,neutral,That 70s Show
101,You're bald!,neutral,That 70s Show
102,But  Nina  what is the D.M.V. really if not one big stage?,neutral,That 70s Show
103,- What's that supposed to mean?- Well  it means that maybe you like her...,neutral,That 70s Show
104,I do better on teststhan your father...,neutral,That 70s Show
105,Yeah  yeah  study more next time.,neutral,That 70s Show
106,Hey  you hitting on my girlfriend?,neutral,That 70s Show
107,Maybe you could be a little less strict and a little more loving.,neutral,That 70s Show
108,Traduction par Guzo  ...Synchro poar Kiff,neutral,That 70s Show
109,They're among the top threereasons I married you.,neutral,That 70s Show
110,Well  enough about me.Kitty  dear  what have you been up to?,neutral,That 70s Show
111,much worse.,neutral,That 70s Show
112,So what  Kelso?So you're her girlfriend.,neutral,That 70s Show
113,- Oh  dad  I'm fine.- Not you. The car.,neutral,That 70s Show
114,Sluts!,neutral,That 70s Show
115,Steven  stop hitting Jughead.,neutral,That 70s Show
116,Nobody tells me anything around here!,neutral,That 70s Show
117,I mean  I know that sounds wrong but anything's possible.,neutral,That 70s Show
118,Jackie  what are you doing here?You hate wrestling.,neutral,That 70s Show
119,Mmm! That is good news  fellas.,neutral,That 70s Show
120,So  okay  we have four out of ten.,neutral,That 70s Show
121,Look! The reason I haven't done anything with my life...,neutral,That 70s Show
122,Oh  I love you too.,neutral,That 70s Show
123,So  you do it too  huh?,neutral,That 70s Show
124,such a resourceful people.,neutral,That 70s Show
125,You could see my knees.,neutral,That 70s Show
126,That's right.,neutral,That 70s Show
127,Red  I need you to take this soup up to Fez.,neutral,That 70s Show
128,You know  ever sincethe plant cut back his hours...,neutral,That 70s Show
129,I mean  after we rip them off we can't come back here and get them.,neutral,That 70s Show
130,I made your favorite drink...Tequila sunrise.,neutral,That 70s Show
131,Steven Tyler is way cooler and Joe Perry is so dreamy.,neutral,That 70s Show
132,'pick you battles.',neutral,That 70s Show
133,Well  I didn't wannaspend the day...,neutral,That 70s Show
134,I don't play golf.,neutral,That 70s Show
135,Look  man,neutral,That 70s Show
136,Okay  the water was really cold...,neutral,That 70s Show
137,My lady.,neutral,That 70s Show
138,And then I snuck outthe back door.,neutral,That 70s Show
139,All of a sudden he realizes he forgot to buy a gift!,neutral,That 70s Show
140,- A little help?- Oh.,neutral,That 70s Show
141,- Shut up.- No way.,neutral,That 70s Show
142,I can't even imagine the moodyour father's in.,neutral,That 70s Show
143,And they have no ideahow weird you are.,neutral,That 70s Show
144,Man  I thought I had this wedding crap taken care of.,neutral,That 70s Show
145,Mom  why don't you everreally talk to me?,neutral,That 70s Show
146,Oh.,neutral,That 70s Show
147,But we won't do that without you.,neutral,That 70s Show
148,Any heart  not tough...,neutral,That 70s Show
149,Are you ready to rock and roll?,neutral,That 70s Show
150,She wanted to get you cookies but I know how much you like the sauce.,neutral,That 70s Show
151,"Tight pants turn a man's derriere into a lady's dream...
and an open shirtshows a sexy chest...",sexist,That 70s Show
152,You mean  I would getpaid for touch hair?,neutral,That 70s Show
153,Something we have never done before...,neutral,That 70s Show
154,or should you start and I watch?,neutral,That 70s Show
155,I think your friend should think aboutall the people she's gonna hurt...,neutral,That 70s Show
156,Ba-ba-ba-ba-ba-baBa-ba-ba-ba-ba-ba,neutral,That 70s Show
157,Did you see how I played her?,neutral,That 70s Show
158,If he's doing something wrong... and we bothknow he is... it's important that I catch him.,neutral,That 70s Show
159,- What?- That's right. You're starting this week...,neutral,That 70s Show
160,Hey  man  nice dress.,neutral,That 70s Show
161,All right,neutral,That 70s Show
162,fix the shelf.,neutral,That 70s Show
163,That's rough.,neutral,That 70s Show
164,- Are you in?- Streaking. I'm...,neutral,That 70s Show
165,Please tell her. Please.,neutral,That 70s Show
166,I still can't believe Red caught you in the bathroom with the guys stash.,neutral,That 70s Show
167,it's no reason to act crazy.,neutral,That 70s Show
168,Downloaded From www.AllSubs.org,neutral,That 70s Show
169,Eric  I'm gonna beMs. Nude Argentina.,neutral,That 70s Show
170,Yeah.,neutral,That 70s Show
171,That's-That's not even a thing.,neutral,That 70s Show
172,Mrs. Forman  I don't want a party.,neutral,That 70s Show
173,Well  then you see what I mean.It's a mess.,neutral,That 70s Show
174,I signed up.,neutral,That 70s Show
175,Okay  um... Quick  getdown under the blanket!,neutral,That 70s Show
176,But she wouldn't haveeight Blanigan-tastic dressings...,neutral,That 70s Show
177,Well  I don't know. You guys didn'treally leave on the best of terms.,neutral,That 70s Show
178,Slut.,neutral,That 70s Show
179,yes  it's fast  fast approaching.,neutral,That 70s Show
180,I said  well done!,neutral,That 70s Show
181,The traveling.It's exhausting.,neutral,That 70s Show
182,you're from Hollywood.,neutral,That 70s Show
183,I see.,neutral,That 70s Show
184,- What?- Nothing.,neutral,That 70s Show
185,No  no  that's not for me.That's for the regular guys.,neutral,That 70s Show
186,Wow  that would've been nice.,neutral,That 70s Show
187,So  what's it gonna be  Steven?,neutral,That 70s Show
188,Now  you know that I'll knowif the Corvette's been moved.,neutral,That 70s Show
189,Being honest and screwing yourselfis clearly the better plan.,neutral,That 70s Show
190,I know you guys'll make me pretty and stuff.,neutral,That 70s Show
191,Oh. Hey  guess what  fellas?,neutral,That 70s Show
192,I'll be wearing a very sexy Renoir.,sexist,That 70s Show
193,Oh  my God.I get it.,neutral,That 70s Show
194,Um  sugar and spiceand everything nice?,neutral,That 70s Show
195, Nobody guess. It's always about boobs.,neutral,That 70s Show
196,They're tennis rackets aren't they?,neutral,That 70s Show
197,I didn't touch it.,neutral,That 70s Show
198,Well  I saw a boob and a halfdown by the pool.,sexist,That 70s Show
199,Yeah  that was one magic trickI could never get right.,neutral,That 70s Show
200,Yeah  by the little dudeat the cheese shop.,neutral,That 70s Show
201,Kevin?,neutral,That 70s Show
202,Guess we solved the mysteryof why Bess was so pudgy.,neutral,That 70s Show
203,Oh  honey.No  no  no  no.,neutral,That 70s Show
204,My son's a fine young man.,neutral,That 70s Show
205,It is Christmas.,neutral,That 70s Show
206,good.,neutral,That 70s Show
207,It's like she was waiting for my magic fingers...,neutral,That 70s Show
208,Okay  Todd  like I know we kissed...,neutral,That 70s Show
209,What kind of sounds?,neutral,That 70s Show
210,Hey  there  little fella.,neutral,That 70s Show
211,"Now if I go back all ""Where's my book""...",neutral,That 70s Show
212,Enjoy your evening.,neutral,That 70s Show
213,I'm not goin' to the gamewith you in that jacket  Bob.,neutral,That 70s Show
214,Look  if I could run across the beachinto my own arms  I would.,neutral,That 70s Show
215,just  uh  skip secondand go right to third.,neutral,That 70s Show
216,you can have all the sex you want and you don?t have to worry about gettin?Anyone pregnant,sexist,That 70s Show
217,Hey  hey  hey  hey!,neutral,That 70s Show
218,Oh  Steven  you're such a bad liar!,neutral,That 70s Show
219,See  now  look.,neutral,That 70s Show
220,Is that close to theice cream guy?,neutral,That 70s Show
221,That's a movie.,neutral,That 70s Show
222,And the coyotesgot him along the way.,neutral,That 70s Show
223,I gotta say.You're one hell of a guy.,neutral,That 70s Show
224,Oh! Condoms.,neutral,That 70s Show
225,And shopping.,neutral,That 70s Show
226,You  sit.,neutral,That 70s Show
227,Okay.,neutral,That 70s Show
228,- Follow me?- Not really.,neutral,That 70s Show
229,We're in a recession.,neutral,That 70s Show
230,- Donna?- Yes.,neutral,That 70s Show
231,I don't love her.,neutral,That 70s Show
232,But what youand Donna had?,neutral,That 70s Show
233,Uh  'bout a week ago tomorrow.,neutral,That 70s Show
234,Man.,neutral,That 70s Show
235,now that I realize that women are more than just sex objects.,neutral,That 70s Show
236,Would that be good?,neutral,That 70s Show
237,Well get those outta here  man I'm trying to impress Brooke with my intelligence.,neutral,That 70s Show
238,I got the thumbs-up from the old ball and chain.,neutral,That 70s Show
239,Well  this is an emotionaltime for my Steven.,neutral,That 70s Show
240,right next door?,neutral,That 70s Show
241,Okay  Donna  look.I think we need to talk.,neutral,That 70s Show
242,Good-bye  Michael.,neutral,That 70s Show
243,Didn't you read my biography?,neutral,That 70s Show
244,All right  you two.Where's Charlie?,neutral,That 70s Show
245,was just to  you know get him back.,neutral,That 70s Show
246,Hello  pretty ladywith eyes like the sea.,neutral,That 70s Show
247,I got busted for possession.,neutral,That 70s Show
248,Holy crap! She is so sexy.,neutral,That 70s Show
249,It's not a prank.,neutral,That 70s Show
250,And,neutral,That 70s Show
251,Okay Steven  I think I figured out a way to end this situation where everybody wins.,neutral,That 70s Show
252,Yeah  I love catholic schoolgirls.,neutral,That 70s Show
253,- Is this your card?- No.,neutral,That 70s Show
254,Hey  Leo  thanksfor letting us hang out here.,neutral,That 70s Show
255,All right  shut up. Wrestling's back on.,neutral,That 70s Show
256,Well  Bob  thanks for insisting on coming along.,neutral,That 70s Show
257,and the way he shakes his hips!,neutral,That 70s Show
258,- Look  would you shut up and listen to me-,neutral,That 70s Show
259,Last night? But I was drunk.,neutral,That 70s Show
260,Oh.,neutral,That 70s Show
261,and I just might have set a few booby traps.,sexist,That 70s Show
262,- Do you hate him?- Kitty  don't start.,neutral,That 70s Show
263,Hey  want me to come by laterand tell you about the boobs?,sexist,That 70s Show
264,Well  if it isn't Playboy reading panty-loving  cat-killing Derek.,neutral,That 70s Show
265,Because what I meantwas countdown...,neutral,That 70s Show
266,We came byto say hi to Casey.,neutral,That 70s Show
267,the person who tells the cutest story will geta special mention in my christmas newsletter.,neutral,That 70s Show
268,"she  uh  ""accidentally""brushed my butt.",neutral,That 70s Show
269,You want it? You want it?You want some of this?,neutral,That 70s Show
270,That's just whata mother does.,neutral,That 70s Show
271,B-because you owe me.,neutral,That 70s Show
272,Life's a bitch  huh?,sexist,That 70s Show
273,It's a philosophical paradox...,neutral,That 70s Show
274,You know  it's that new moviestarring that big  red whore.,sexist,That 70s Show
275,All those foreigners...,neutral,That 70s Show
276,Coolant.,neutral,That 70s Show
277,Donna.,neutral,That 70s Show
278,- I can fix it.- Fix what?,neutral,That 70s Show
279,Okay  fine.Look  I'll just tell you what happened.,neutral,That 70s Show
280,I mean  you're a briber.That's what you do.,neutral,That 70s Show
281,Good  because people over30 don't listen to music.,neutral,That 70s Show
282,I'll have to bring the rest up from storage.,neutral,That 70s Show
283,well  I watch them all.I mean  I don't discriminate.,neutral,That 70s Show
284,Oh  wait. We can't justleave Jackie here like that.,neutral,That 70s Show
285,Okay  look. Who knows what's gonna happen with me and Jackie.,neutral,That 70s Show
286,And you see those two dancing?That's Bobby and Sissy.,neutral,That 70s Show
287,Stay focused.Kick his ass!,neutral,That 70s Show
288,So  Red  we got your muffler store flyer  and,neutral,That 70s Show
289,Hey  is that a blackhead?,neutral,That 70s Show
290,Get out of my office!,neutral,That 70s Show
291,How many men tell themthey look fat? Zero.,neutral,That 70s Show
292,No!,neutral,That 70s Show
293,I can't be the stooge.,neutral,That 70s Show
294,Stop talking.,neutral,That 70s Show
295,This is how Ialways hoped it'd be.,neutral,That 70s Show
296,What concert?,neutral,That 70s Show
297,So  you go put onsomething pretty...,neutral,That 70s Show
298,But if he blows you off then you tested the water,neutral,That 70s Show
299,Big boobs on your butt.,sexist,That 70s Show
300,Well  I ran out of underwear and I'm wearing my swimsuit  and  uh...,neutral,That 70s Show
301,by skipping a couple showersand sleeping in it naked.,neutral,That 70s Show
302,I like his tight pants  but she's a slut.,sexist,That 70s Show
303,Where's Red Land?,neutral,That 70s Show
304,Hey  I love Donna  okay?,neutral,That 70s Show
305,Go up and tell them you have homework to do.,neutral,That 70s Show
306,Geez.,neutral,That 70s Show
307,has been better because you were there with me...,neutral,That 70s Show
308,Is this really happening?,neutral,That 70s Show
309,"Hey  Mrs. Forman.Hey  Red.",neutral,That 70s Show
310,What kind of parentswould kick a child out?,neutral,That 70s Show
311,- Are those your real teeth?- Yeah.,neutral,That 70s Show
312,- Eric?!- Mommy?,neutral,That 70s Show
313,Good news.I got the job.,neutral,That 70s Show
314,Donna  I'm not ready.,neutral,That 70s Show
315,I don't know.,neutral,That 70s Show
316,Donna told me about the test.,neutral,That 70s Show
317,- that's the one I made it with at the MollyHatchet concert. - That's Brooke.,neutral,That 70s Show
318,I'd know he wasn't interested.,neutral,That 70s Show
319,and I cannot fall asleep without it,neutral,That 70s Show
320,Yeah  nice try.,neutral,That 70s Show
321,Oh  I do not use it on my hair.,neutral,That 70s Show
322,- Who says you're not smart?- You.,neutral,That 70s Show
323,- What happened to your dad's hair?- He got a permanent.,neutral,That 70s Show
324,Oh  I'm sorry  Laurie.No whores on my show.,sexist,That 70s Show
325,slutty cheerleaders in other schools.,sexist,That 70s Show
326,So  you guys  Joanne has been chosento emcee Pioneer Days. Tell 'em why  baby.,neutral,That 70s Show
327,Do these breasts look big enough?,sexist,That 70s Show
328,God  I feel like I'm Luke Skywalker  you know?,neutral,That 70s Show
329,No  what I mean is...,neutral,That 70s Show
330,She made me waffles.Now promenade  you son of a bitch!,sexist,That 70s Show
331,he just shuffles aroundin a not-completely-closed bathrobe.,neutral,That 70s Show
332,- David Milbank? Dad  I hated that guy.- Yeah  I hate his dad...,neutral,That 70s Show
333,Red  I'm sure you won'teven know it's there.,neutral,That 70s Show
334,and that...,neutral,That 70s Show
335,Thank you  Midge.,neutral,That 70s Show
336,Hey  you guys  you know what goesreally good with a bad short story?,neutral,That 70s Show
337,They always wanna dance. Always.,neutral,That 70s Show
338,I had my sister take a sexy boudoir photograph of me.,neutral,That 70s Show
339,Donna  that ring is a symbol of Our eternal love for each other.,neutral,That 70s Show
340,I'm sorry you had to see that.,neutral,That 70s Show
341,Yeah... you have a really strong tongue.,neutral,That 70s Show
342,Welcome to the clinicfor sexy Kelsos.,sexist,That 70s Show
343,Everything's fine.,neutral,That 70s Show
344,Smellso.,neutral,That 70s Show
345,Well  you are a remarkable talent.,neutral,That 70s Show
346,'cause I didn't want my friendsto hear her talk...,neutral,That 70s Show
347,Got it wrong. Sorry.,neutral,That 70s Show
348,- Tell me what?- That  uh...,neutral,That 70s Show
349,That's interesting.,neutral,That 70s Show
350,"That's 'cause you forgotthe ""buy one"" part.",neutral,That 70s Show
351,I thought that out of everyone...,neutral,That 70s Show
352,No  I didn't chicken out  man.,neutral,That 70s Show
353,Kelso  Rocky loses.,neutral,That 70s Show
354,Like Jackie kissing that guy. Ow!,neutral,That 70s Show
355,I have delightful accent.,neutral,That 70s Show
356,- Come on  one more time.- You're hot.,neutral,That 70s Show
357,- Do you understand me?- No  but nobody understands you.,neutral,That 70s Show
358,Because I missed you.,neutral,That 70s Show
359,So long  Point Place!,neutral,That 70s Show
360,- I think maybe...- I'll kill myself  I swear to God.,neutral,That 70s Show
361,They should call it fundue. 'Cause it is fun.,neutral,That 70s Show
362,being in america,neutral,That 70s Show
363,do you get what I'm saying?,neutral,That 70s Show
364,Okay  you guys  here's the plan.Fez  you beg for mercy in broken English.,neutral,That 70s Show
365,- No  Mom! Mom!- Eric  Mom made it for you.,neutral,That 70s Show
366,and you're right. You haveraised some fine young men.,neutral,That 70s Show
367,Nope. One day I just woke up and my life was over.,neutral,That 70s Show
368,You know about monkeys.,neutral,That 70s Show
369,and you obviously don't  since you don't have any.,neutral,That 70s Show
370,Hi. What are you doing?,neutral,That 70s Show
371,and I want to forgive you...,neutral,That 70s Show
372,Sweetie?,neutral,That 70s Show
373,That's game.,neutral,That 70s Show
374,I need your help.,neutral,That 70s Show
375,except an incredibly sexy accentand an extremely hot body?,sexist,That 70s Show
376,I agree.,neutral,That 70s Show
377,Then you started making out in there.,neutral,That 70s Show
378,If I had mistletoe I'd kiss you.,neutral,That 70s Show
379,Dad  I can't choose for you.,neutral,That 70s Show
380,No  no  I'm talking aboutcountry clubs  fancy restaurants.,neutral,That 70s Show
381,I don't know where she's going but I'm gonna follow her.,neutral,That 70s Show
382,Second  you're lame and you make me sick.,neutral,That 70s Show
383,It makes me looklike a damn robot.,neutral,That 70s Show
384,and they all agreed that it was...,neutral,That 70s Show
385,You know  she's a bitch.,sexist,That 70s Show
386,Well  Dad  you can't stop me.Okay?,neutral,That 70s Show
387,he'll buy his way out and wriggle free.,neutral,That 70s Show
388,Donna...what's the matter?,neutral,That 70s Show
389,A lot.,neutral,That 70s Show
390,Come on.She's so full of crap.,neutral,That 70s Show
391,That was a prettyawkward landing...,neutral,That 70s Show
392,Jackie  I'll  uh  get you something to drink.,neutral,That 70s Show
393,I get that a lot.,neutral,That 70s Show
394,Our special today is sexaroni.,sexist,That 70s Show
395,Good advice  that doctor obviouslyknows what he's talking about.,neutral,That 70s Show
396,I can't believe those moronsmissed their own graduation.,neutral,That 70s Show
397,So here's my new planfor the year:,neutral,That 70s Show
398,You know what? I'm tooexcited to quibble. Come here.,neutral,That 70s Show
399,"Hey",neutral,That 70s Show
400,Yeah  especially a spoiled crazy whack job.,neutral,That 70s Show
401,Then they're dumbasses.,neutral,That 70s Show
402,Wh-Why? What'd you answer?,neutral,That 70s Show
403,- What'd you get her? Earrings? A little bracelet?- No.,neutral,That 70s Show
404,What the hell are you teaching him?,neutral,That 70s Show
405,- Eh.- Yeah.,neutral,That 70s Show
406,There are some things I haven't been honestabout that I feel like you should know.,neutral,That 70s Show
407,Ma says the cat bit her so I'm down here looking for it.,neutral,That 70s Show
408,- Shut up.- Okay.,neutral,That 70s Show
409,Okay  look. We'll wait till later tonight then sneak back in and get it.,neutral,That 70s Show
410,Man  Bob and Midgemust really hate me.,neutral,That 70s Show
411,sexy 20 questions.,sexist,That 70s Show
412,All right  thisconversation is over!,neutral,That 70s Show
413,Happy birthday.,neutral,That 70s Show
414,putting up twinkle lights that are breathtaking,neutral,That 70s Show
415,I'm going tothe sporting goods department.,neutral,That 70s Show
416,I refuse to trade on my goodlooks to achieve success.,neutral,That 70s Show
417,Dumb-asses.,neutral,That 70s Show
418,I'll bet you 50 bucksthat if we do it  I'll be into it.,neutral,That 70s Show
419,Okay  Donna,neutral,That 70s Show
420,I don't want to ruinour nice night out...,neutral,That 70s Show
421,I can't help that.,neutral,That 70s Show
422,That book'sfor perverts  Red.,neutral,That 70s Show
423,Well  she had to seeyou naked for two years.,neutral,That 70s Show
424,I'll get it.,neutral,That 70s Show
425,Come on  let's go.,neutral,That 70s Show
426,And don't give me that look because this isn't yelling!,neutral,That 70s Show
427,- What kind of gum?- Big Red.,neutral,That 70s Show
428,What?,neutral,That 70s Show
429,It was a tie.,neutral,That 70s Show
430,because then Eric getsall the weekday headaches...,neutral,That 70s Show
431,No. Don't worry about it.Someone will stab Eric. Bye.,neutral,That 70s Show
432,She's not gonna end uplike Fat Martha.,neutral,That 70s Show
433,Here we are. Back at Phillies.,neutral,That 70s Show
434,And I'm going back to pretty.,neutral,That 70s Show
435,Mm-hmm.,neutral,That 70s Show
436,I'm going to need you.,neutral,That 70s Show
437,But you can't squeeze bloodfrom a stone  son.,neutral,That 70s Show
438,You know  Eric I've had a crush on you for so long.,neutral,That 70s Show
439,- I agree. Now we can go.- ,neutral,That 70s Show
440,It's crazy  huh?,neutral,That 70s Show
441,You know  Steven  it was really niceof you to get that ticket for Eric.,neutral,That 70s Show
442,I'm gonna take the year off.,neutral,That 70s Show
443,tonight and tomorrow over at Fez's.,neutral,That 70s Show
444,Twenty percent.,neutral,That 70s Show
445,You know what would make this outfit perfect?,neutral,That 70s Show
446,I've realized that I can revertto my natural state.,neutral,That 70s Show
447,Donna  that is not fair.,neutral,That 70s Show
448,You were just trying to make me look bad.,neutral,That 70s Show
449,as the husband who has shared,neutral,That 70s Show
450,is your orphan soul coming alive.,neutral,That 70s Show
451,Why'd you do it?,neutral,That 70s Show
452,Plus  I brought lotion.,neutral,That 70s Show
453,What  he's supposed tojust jump out after her?,neutral,That 70s Show
454,Wait. Does this meanwe're not gettin' a fat kid to play with?,neutral,That 70s Show
455,and he starteddoing doughnuts.,neutral,That 70s Show
456,It's my God-givenright as a mother!,neutral,That 70s Show
457,And I don't mean what you said just there.I mean your face. Nice burn.,neutral,That 70s Show
458,What the hellare you doing here?,neutral,That 70s Show
459,I say stick with her  Bob.,neutral,That 70s Show
460,You constantly hit on her.You bought her presents all the time.,neutral,That 70s Show
461,If you could just see...that this is somethingthat's...really important to me then...you'dunderstand that as my boyfriend...you should go.,neutral,That 70s Show
462,And if not,neutral,That 70s Show
463,So they make an evening of it?,neutral,That 70s Show
464,Check it out  man.I'm a chip off the old block.,neutral,That 70s Show
465,What anawesome night.,neutral,That 70s Show
466,- Shh! Shh!- Okay  let's  uh  get you some coffee.,neutral,That 70s Show
467,Bloody hell is that my mailbox?,neutral,That 70s Show
468,- Give me that. Give me that.- No! No!,neutral,That 70s Show
469,but I don't want you stuck in thegarbage bag with dead  naked Midge.,neutral,That 70s Show
470,Whoa  yeah.,neutral,That 70s Show
471,Get a little  lefty-lucy.,neutral,That 70s Show
472,I need to test himsomehow.,neutral,That 70s Show
473,Remind me to kick your ass.,neutral,That 70s Show
474,I have to shave your neck.,neutral,That 70s Show
475,"She said  ""Search for life to live life ""which is my new motto.",neutral,That 70s Show
476,- - Hey.,neutral,That 70s Show
477,Where's the last placeyou saw him?,neutral,That 70s Show
478,"Next you'll tell me butteris called ""booder.""",neutral,That 70s Show
479,"And by ""someone else "" I mean Bob.",neutral,That 70s Show
480,Okay  Mr. Shinsky,neutral,That 70s Show
481,I'm outta here.,neutral,That 70s Show
482,My country never fought a war.,neutral,That 70s Show
483,Okay. That's one for you.,neutral,That 70s Show
484,Exactly.,neutral,That 70s Show
485,I know this is asensitive moment,neutral,That 70s Show
486,No  you should not get him you son of a bitch.,sexist,That 70s Show
487,Oh  you're in big trouble Red Forman.,neutral,That 70s Show
488,Forman  you getmushy with Donna...,neutral,That 70s Show
489,Look  I was thinking aboutgetting a present for...,neutral,That 70s Show
490,'cause since you've been out of work  you're a little bummy,neutral,That 70s Show
491,Yeah  I was a dancing mushroom.,neutral,That 70s Show
492,Yeah  that's how Ericran me off.,neutral,That 70s Show
493,And  um  I'd really...,neutral,That 70s Show
494,You know  I wasn't that worriedabout Donna and my mom talking about me...,neutral,That 70s Show
495,No  no  you know that parkinglot where we drink beer in?,neutral,That 70s Show
496,since you claimed to bethe prince of South Carolina.,neutral,That 70s Show
497,She's busy.So hit the road  guy.,neutral,That 70s Show
498,I can't stay mad at you with that cute face.,neutral,That 70s Show
499,It's probably cause all my memoriesof her are in super jiggle sexy slo-mo.,neutral,That 70s Show
500,let's just stay calm.,neutral,That 70s Show
501,I heard him.,neutral,That 70s Show
502,Wow  that's sometough talk  Jamie Farr.,neutral,That 70s Show
503,Well hate to let the cat out of the bagand then leave  but,neutral,That 70s Show
